PART NUMBER	NAME	MAKE/MODEL	CATEGORY
47201-60A70	Brake Master cylinder	LAND CRUISER 79	MK
GFT-223	Coupling/ Fan clutch	LAND CRUISER 75 Tourist	GMB Japan
13011-15050	Piston rings(STD)	5AF	Koyo japan
APO72	Brake Pads	LAND CRUISER 79	All Parts
DT-094L	Clutch plate	1KD/1HZ79	Genuine
12303-72010-IN	Gear Mounting	LAND CRUISER 70 Series	RBI
43207-60032	Knuckle kit/Blanket	LAND CRUISER 79	Koyo japan
GWT-91A	Water Pump	1HZ	GMB Japan
R039A	Con Bearing(STD)(0.25)	3L/5L/2L	Taiho
16572-17020	Hose Pipe(lower)	1HZ	Genuine
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	555(Japan)
43212-60251	Knucle	Prado 1KD	Genuine
90915-30002-8T	Oil Filter	LAND CRUISER 79/5L	555(Japan)
BMT--239	Brake Master cylinder	LAND CRUISER 79	Taiho
4094w	Axle bearing(with con)(0.50)	5L/3L/1KD	Koyo japan
90310-36003	Seal (Rear tube seal)	LAND CRUISER 79	Taiho
M720AI	Main Bearing(STD)(STD)	1KD/2KD/1KZ	Taiho
M087H	Main Bearing(0.50)	TD23/TD25/TD27	All Parts
R039A	Con bearing(0.25)(STD)	3L/5L/2L	Taiho
13711-54040	Exhaust Valve	LAND CRUISER 79	Genuine
36211-60090	Connector shaft	LAND CRUISER 79	GMB Japan
23390-51070	Fuel Filter	LAND CRUISER 79	Taiho
90151-60013	Screw(water pump)	1TR/2TR	All Parts
13711-30030	Intake Valve	1KD	GMB Japan
13013-54120	Piston rings(0.50)	3L	Aisin
16210-17070	Coupling/ Fan clutch	LAND CRUISER 79	Koyo japan
04111-0C098	Overhaul gasket	Prado 1KD	Genuine
23303-64019	Oil Filter	LAND CRUISER 70 Series	OSK
09340-6280	Nozzle	LAND CRUISER 79	All Parts
04311-6100	Upper clutch kit	LAND CRUISER 79	OSK
13711-17010	Intake Valve	LAND CRUISER 79	555(Japan)
45047-69085	Rear Tie Rod	LAND CRUISER 79	Koyo japan
90310-35010	Seal (Front tube seal)	Prado 1KD	Genuine
13715-30030	Exhaust Valve	1KD	OSK
APO72	Brake Pads	Prado	Genuine
33368-35080	synchronizer ring (No 3)(new model)	LAND CRUISER 79	Aisin
48531-80547	Shock Absorber(Rear)	3L/5L	Genuine
42323-60020	Conn washer	LAND CRUISER 79	Genuine
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	Taiho
90201-12019	Knucle washer	LAND CRUISER 79	Taiho
13711-54050	Exhaust Valve	HIACE 5L	Digue
